range,codepoint,char,unicode_name,image_file
Musical Symbols,U+1D1D9,𝇙,MUSICAL SYMBOL PORRECTUS,images/U+1D1D9_MUSICAL_SYMBOL_PORRECTUS.png
Musical Symbols,U+1D1DA,𝇚,MUSICAL SYMBOL PORRECTUS FLEXUS,images/U+1D1DA_MUSICAL_SYMBOL_PORRECTUS_FLEXUS.png
Musical Symbols,U+1D1DB,𝇛,MUSICAL SYMBOL SCANDICUS FLEXUS,images/U+1D1DB_MUSICAL_SYMBOL_SCANDICUS_FLEXUS.png
Musical Symbols,U+1D1DC,𝇜,MUSICAL SYMBOL TORCULUS RESUPINUS,images/U+1D1DC_MUSICAL_SYMBOL_TORCULUS_RESUPINUS.png
Musical Symbols,U+1D1DD,𝇝,MUSICAL SYMBOL PES SUBPUNCTIS,images/U+1D1DD_MUSICAL_SYMBOL_PES_SUBPUNCTIS.png
Musical Symbols,U+1D1DE,𝇞,MUSICAL SYMBOL KIEVAN C CLEF,images/U+1D1DE_MUSICAL_SYMBOL_KIEVAN_C_CLEF.png
Musical Symbols,U+1D1DF,𝇟,MUSICAL SYMBOL KIEVAN END OF PIECE,images/U+1D1DF_MUSICAL_SYMBOL_KIEVAN_END_OF_PIECE.png
Musical Symbols,U+1D1E0,𝇠,MUSICAL SYMBOL KIEVAN FINAL NOTE,images/U+1D1E0_MUSICAL_SYMBOL_KIEVAN_FINAL_NOTE.png
Musical Symbols,U+1D1E1,𝇡,MUSICAL SYMBOL KIEVAN RECITATIVE MARK,images/U+1D1E1_MUSICAL_SYMBOL_KIEVAN_RECITATIVE_MARK.png
Musical Symbols,U+1D1E2,𝇢,MUSICAL SYMBOL KIEVAN WHOLE NOTE,images/U+1D1E2_MUSICAL_SYMBOL_KIEVAN_WHOLE_NOTE.png
Musical Symbols,U+1D1E3,𝇣,MUSICAL SYMBOL KIEVAN HALF NOTE,images/U+1D1E3_MUSICAL_SYMBOL_KIEVAN_HALF_NOTE.png
Musical Symbols,U+1D1E4,𝇤,MUSICAL SYMBOL KIEVAN QUARTER NOTE STEM DOWN,images/U+1D1E4_MUSICAL_SYMBOL_KIEVAN_QUARTER_NOTE_STEM_DOWN.png
